Wavelength(nm)	Sample_S1_Abs_coeff(1/cm)	Sample_S2_Abs_coeff(1/cm)
425.18	38.1705635	2.79528097
425.62	41.32431371	-0.35590105
426.06	38.39206909	-0.30927562
426.5	39.91030509	1.51732364
426.95	43.27191541	0.79044408
427.39	34.39387452	0.94439896
427.83	49.28443328	-0.58751617
428.27	37.75446653	0.89322656
428.72	35.34638645	5.28905224
429.16	33.00615909	0.99524833
429.6	33.95492937	3.36958683
430.04	34.12584131	0.23305196
430.48	29.47448604	-0.86195939
430.93	34.17833412	1.67284048
431.37	36.09774315	1.74126132
431.81	31.37048228	1.51332458
432.25	33.01130583	-1.1061307
432.69	35.79809756	0.16653483
433.14	34.16688983	-0.21140267
433.58	34.42125801	0.47582321
434.02	31.68780063	0.2479712
434.46	28.22445759	0.98242389
434.9	32.33200452	2.52377124
435.34	30.21424394	-0.28714101
435.79	28.20505562	0.94004356
436.23	29.74456101	-0.9389236
436.67	28.58487298	-0.58407983
437.11	27.49608266	-0.4318252
437.55	26.98983936	2.66824547
437.99	29.14733611	-1.36784668
438.43	25.36738604	-2.53189938
438.87	25.46792542	2.23608153
439.32	25.2750528	0.61822709
439.76	23.21987822	0.97884706
440.2	26.77794156	-1.05429218
440.64	27.6266231	-3.13447359
441.08	26.65684873	3.11698037
441.52	26.82961617	0.52730982
441.96	26.46726983	1.79535725
442.4	27.43317536	0.14987983
442.84	26.3527692	1.15980327
443.28	24.90633382	0.71837171
443.72	24.37103142	1.70839003
444.16	23.42920654	-1.33857713
444.6	27.88638844	1.20076949
445.04	23.83714391	0.84325006
445.48	23.4308098	0.28650695
445.92	25.25385444	-0.7426387
446.36	22.0202207	1.59776168
446.8	20.82897844	0.28038823
447.24	22.53998089	0.17474825
447.68	24.63449512	-0.20161154
448.12	23.60895437	1.66395396
448.56	20.17470473	2.56814565
449	21.82415693	1.71803586
449.44	20.54112335	-0.40490061
449.88	22.18438452	1.5141347
450.32	17.81897863	0.87575505
450.76	22.03278698	0.16715087
451.2	21.3705678	1.83263583
451.64	22.06288613	2.20961348
452.08	21.07591955	1.63047007
452.52	21.02989612	1.60224067
452.96	21.0126914	1.37226066
453.4	21.46893127	1.74322773
453.84	21.84531027	1.42701065
454.28	19.54060425	0.54246368
