Wavelength_(nm)	S2_1.3uJ(arb.units)	S2_15uJ(arb.units)	S2_400uJ(arb.units)
379.3	8.4946E-4	0.00176711	3.409E-5
379.75	0.00125735	0.00146149	0.00319451
380.2	-0.00288849	-1.3596E-4	-5.4385E-4
380.65	0.00482565	3.397E-4	0.00176711
381.09	1.7005E-4	0.0018012	8.8355E-4
381.54	4.7567E-4	-0.00390801	8.8355E-4
381.99	-0.00152927	-0.00346643	3.0602E-4
382.44	0.00380614	-5.7754E-4	0.00513167
382.89	-0.00305855	8.1577E-4	-3.0602E-4
383.33	0.00482565	0.00400988	0.00380614
383.78	-2.7192E-4	0.00309264	0.00584517
384.23	0.00397619	8.1577E-4	0.00244692
384.68	4.4198E-4	0.00146149	0.00186898
385.12	1.7005E-4	-1.3596E-4	0.00169933
385.57	0.00183529	-0.00305855	0.00132553
386.02	5.4385E-4	7.4759E-4	-0.00129144
386.47	-8.8355E-4	0.00288849	0.00227686
386.91	0.00108729	0.00424812	0.00506348
387.36	0.00254879	0.00479156	0.00468969
387.81	0.00730666	0.00547137	0.00475787
388.25	7.8168E-4	-0.00299036	8.8355E-4
388.7	0.00414584	0.00526763	0.00129144
389.15	3.409E-5	5.4385E-4	0.00400988
389.59	0.00258288	-7.8168E-4	0.00747631
390.04	-0.0032286	-6.778E-5	0.00125735
390.49	0.00146149	-6.778E-5	0.00329638
390.93	6.7981E-4	0.00129144	2.7192E-4
391.38	8.4946E-4	4.4198E-4	3.397E-4
391.83	0.00329638	0.00543728	0.00615118
392.27	-0.00173301	0.00285481	0.0064227
392.72	0.00339825	0.00227686	0.00288849
393.17	0.00186898	0.00217499	6.4572E-4
393.61	0.00421402	0.00584517	0.00451963
394.06	0.00193716	-4.0789E-4	7.135E-4
394.51	0.00146149	4.4198E-4	-5.7754E-4
394.95	-0.00261657	0.00146149	-6.778E-5
395.4	-2.3783E-4	0.00129144	5.7754E-4
395.85	0.00125735	-0.00200494	0.00166524
396.29	0.00451963	2.3783E-4	0.00513167
396.74	0.00333047	0.00139331	0.00414584
397.18	-0.00316042	-0.00479156	-0.0014274
397.63	0.00186898	0.00339825	0.00105361
398.08	-1.0187E-4	0.00275253	0.00417993
398.52	0.00227686	0.00339825	0.00645679
398.97	-0.00326229	0.00112139	0.00183529
399.41	0.00261657	-2.3783E-4	6.778E-5
399.86	3.738E-4	-2.3783E-4	0.0032286
400.3	0.00217499	-0.0025147	0.00350012
400.75	0.00101952	-9.1764E-4	2.0374E-4
401.19	0.00285481	0.00417993	0.00377204
401.64	-0.00169933	7.4759E-4	-0.00108729
402.09	-4.4198E-4	0.00434999	0.00445186
402.53	0.00295668	0.00326229	0.00336456
402.98	0.00353421	-9.5174E-4	-1.3596E-4
403.42	6.4572E-4	0.00115548	0.00197085
403.87	0.00125735	0.00125735	-0.00108729
404.31	-0.00285481	-0.0021409	0.00448595
404.76	0.0021409	0.00173301	7.135E-4
405.2	0.00149518	0.00169933	2.7192E-4
405.65	0.00190307	0.0025147	0.0039421
406.09	0.00115548	-2.7192E-4	0.00533541
406.54	-0.00234505	-0.00234505	0.00377204
406.98	0.00115548	-6.778E-5	0.00390801
407.43	0.00156336	0.00146149	0.00258288
407.87	0.0021409	0.00346643	0.00438408
408.32	0.00183529	-0.00112139	0.00163114
408.76	0.00234505	0.00132553	0.00295668
409.21	0.00292258	0.0025147	0.00302445
409.65	2.7192E-4	-6.4572E-4	9.8542E-4
410.09	-0.00149518	0.00207312	0.00186898
410.54	-0.00112139	-6.1163E-4	0.00550546
410.98	2.3783E-4	0.00319451	5.4385E-4
411.43	0.00156336	0.00217499	0.00431589
411.87	0.00485974	0.00220909	0.00200494
412.32	9.8542E-4	0.00118957	6.7981E-4
412.76	0.00237873	0.00115548	0.00339825
413.2	0.00156336	9.5174E-4	0.00390801
413.65	0.00176711	0.0024806	0.00472378
414.09	0.00339825	0.00186898	0.00176711
414.54	0.00237873	0.00451963	0.00227686
414.98	0.00125735	0.00472378	0.00339825
415.42	0.00468969	0.00479156	0.00550546
415.87	-1.7005E-4	0.00370427	0.00258288
416.31	0.00200494	-6.4572E-4	0.00485974
416.76	0.00502939	0.00523354	0.00655867
417.2	8.1577E-4	-5.0976E-4	0.00499571
417.64	0.00509758	-0.00234505	-8.1577E-4
418.09	8.1577E-4	5.0976E-4	0.00316042
418.53	-0.0018012	1.3596E-4	0.00105361
418.97	-6.4572E-4	0.00190307	8.8355E-4
419.42	6.1163E-4	-4.0789E-4	0.00377204
419.86	0.00200494	0.00231096	0.00292258
420.3	7.135E-4	-4.0789E-4	0.00417993
420.75	0.00261657	0.0046556	0.00282071
421.19	2.0374E-4	0.0021409	0.00591295
421.63	0.0042818	1.0187E-4	0.00275253
422.08	7.4759E-4	0.00146149	0.00237873
422.52	-0.0039421	-0.0025147	3.409E-5
422.96	-0.00118957	0.00166524	0.00400988
423.4	-0.00118957	9.5174E-4	0.00125735
423.85	-0.00224277	-3.0602E-4	0.00285481
424.29	0.0042818	-7.135E-4	8.1577E-4
424.73	0.00295668	0.00468969	0.00417993
425.18	0.00149518	0.00129144	-5.4385E-4
425.62	-0.00132553	-4.0789E-4	3.0602E-4
426.06	5.4385E-4	-2.7192E-4	3.409E-5
426.5	0.00183529	-1.0187E-4	0.00499571
426.95	-3.409E-5	0.00190307	0.0032286
427.39	0.00295668	4.0789E-4	7.135E-4
427.83	-8.8355E-4	0.00329638	0.00421402
428.27	5.0976E-4	9.1764E-4	6.1163E-4
428.72	-1.0187E-4	-5.0976E-4	0.00468969
429.16	0.00149518	0.00159705	0.00577739
429.6	0.00353421	0.00333047	0.00485974
430.04	-0.0014274	0.00285481	-0.00234505
430.48	0.00186898	3.409E-5	0.00502939
430.93	-8.4946E-4	7.8168E-4	0.00761227
431.37	-7.8168E-4	-5.7754E-4	0.00258288
431.81	9.8542E-4	0.00312632	0.00485974
432.25	0.00278662	0.00370427	0.00329638
432.69	0.00417993	0.00203903	0.00377204
433.14	0.0024806	0.00329638	0.00207312
433.58	0.00407806	0.00132553	0.0021409
434.02	0.00159705	0.00149518	0.00598113
434.46	0.00101952	0.00224277	0.00346643
434.9	-9.5174E-4	-0.00186898	0.00414584
435.34	-1.0187E-4	0.00234505	0.00173301
435.79	0.00363608	-9.5174E-4	0.0067969
436.23	-6.778E-5	-0.00200494	0.00615118
436.67	0.00156336	0.00523354	0.00686468
437.11	5.7754E-4	2.7192E-4	0.00434999
437.55	-6.7981E-4	5.4385E-4	0.00329638
437.99	0.00217499	0.0024806	0.00941347
438.43	0.00271884	-0.00207312	0.00282071
438.87	0.00163114	0.00285481	0.00611709
439.32	0.00309264	0.00288849	0.00533541
439.76	-0.00186898	0.00159705	0.00628715
440.2	-4.4198E-4	-9.5174E-4	0.00434999
440.64	0.00254879	0.00397619	0.00377204
441.08	0.00207312	3.409E-5	0.00778233
441.52	0.00604891	6.4572E-4	0.0057433
441.96	-0.00227686	-0.00135922	0.00547137
442.4	0.00224277	7.135E-4	0.00785011
442.84	0.00156336	0.00513167	0.00706842
443.28	6.7981E-4	-0.00237873	0.00618487
443.72	0.00115548	-8.8355E-4	0.00533541
444.16	9.1764E-4	0.0021409	0.00866588
444.6	0.0036024	0.00156336	0.00492752
445.04	0.00333047	0.00343234	0.00975317
445.48	3.738E-4	0.00190307	0.00598113
445.92	0	4.0789E-4	0.00581107
446.36	-2.3783E-4	-0.00146149	0.00649089
446.8	0.0039421	8.8355E-4	0.00740853
