Wavelength(nm)	Pump_35(uJ)	Pump_73(uJ)	Pump_140(uJ)	Pump_260(uJ)	Pump_400(uJ)
274.92	-0.00141125	-7.058E-4	0.00123498	0.00273436	9.7021E-4	0.00149939
275.38	-0.00573349	-1.7627E-4	-0.00467479	-0.00149939	-0.00158788	-0.0028225
275.84	-0.00344016	-0.0028225	8.814E-5	-5.2917E-4	-0.00308726	-8.814E-5
276.3	-2.6476E-4	0.00229333	-0.00132311	0.00255809	0.00132311	-0.00326354
276.76	-8.814E-5	-0.00167601	0.00238146	0.00158788	0.00255809	-5.2917E-4
277.22	-0.00105835	-1.7627E-4	9.7021E-4	-4.4104E-4	0.00273436	3.529E-4
277.68	-0.00202891	7.9394E-4	-0.00114684	-0.00149939	-0.00255809	-0.00229333
278.14	6.1731E-4	0.00246995	2.6476E-4	0.00149939	0.00202891	0
278.59	0.00335203	8.814E-5	-0.00141125	0.00370458	0.00273436	7.9394E-4
279.05	-0.00326354	-0.00123498	-0.00414561	-0.00149939	-3.529E-4	-4.4104E-4
279.51	0.00229333	2.6476E-4	-0.00246995	0.00105835	7.058E-4	0.00105835
279.97	4.4104E-4	8.814E-5	-0.00194042	8.8208E-4	-0.00105835	7.9394E-4
280.43	0.00123498	-3.529E-4	-0.00423375	0.00273436	7.058E-4	-5.2917E-4
280.89	0.00114684	-3.529E-4	8.8208E-4	0.00185229	-0.00132311	3.529E-4
281.35	-0.00167601	-0.00255809	-0.00370458	0.00291099	0.00123498	-8.814E-5
281.81	-0.00396934	-0.0031754	-0.0035283	-0.00229333	-0.00123498	-0.00176415
282.27	3.529E-4	-5.2917E-4	0.00220519	4.4104E-4	3.529E-4	8.8208E-4
282.72	8.814E-5	0.00246995	-1.7627E-4	-5.2917E-4	0.00123498	8.814E-5
283.18	8.814E-5	-3.529E-4	0.00255809	0.00273436	0.00255809	0.00158788
283.64	-0.00326354	-0.00194042	-0.00167601	-7.9394E-4	-9.7021E-4	-0.0035283
284.1	0.00149939	-0.00211705	-0.00123498	-0.00326354	-4.4104E-4	0.00105835
284.56	0.00105835	9.7021E-4	0.00396934	0.00132311	-5.2917E-4	0.00114684
285.02	0.00167601	-3.529E-4	-0.00273436	-0.00149939	7.9394E-4	2.6476E-4
285.48	6.1731E-4	0.00405748	0.00449851	0.00493955	0.00273436	0.00291099
285.93	0.00458665	0.00361644	0.00379306	0.00405748	0.00308726	0.00105835
286.39	-4.4104E-4	-1.7627E-4	-0.00167601	-8.8208E-4	0	0.00158788
286.85	-7.058E-4	-0.00167601	0.00105835	0.00167601	-9.7021E-4	1.7627E-4
287.31	7.9394E-4	-1.7627E-4	8.8208E-4	4.4104E-4	5.2917E-4	-8.814E-5
287.77	-0.00335203	7.9394E-4	-0.0028225	-0.00176415	-8.8208E-4	-0.00132311
288.23	1.7627E-4	7.9394E-4	-0.00370458	-0.00132311	-0.00105835	-0.00123498
288.68	1.7627E-4	-8.814E-5	-6.1731E-4	-4.4104E-4	-5.2917E-4	-6.1731E-4
289.14	-0.00141125	0.00220519	3.529E-4	8.8208E-4	0.00114684	4.4104E-4
289.6	8.814E-5	-0.00149939	9.7021E-4	8.814E-5	-8.814E-5	3.529E-4
290.06	7.9394E-4	-3.529E-4	-1.7627E-4	0.00141125	8.814E-5	-0.0028225
290.52	-0.00202891	-0.00264623	-0.00344016	-5.2917E-4	-0.0028225	-0.00414561
290.97	6.1731E-4	9.7021E-4	5.2917E-4	-2.6476E-4	-0.00132311	0.00246995
291.43	0.00264623	0.00105835	0.00493955	0.00291099	0.00229333	7.058E-4
291.89	-9.7021E-4	0.00246995	3.529E-4	-4.4104E-4	-1.7627E-4	0.00123498
292.35	0.00326354	0.00194042	0.00132311	0.0035283	0.00255809	0.00229333
292.81	-3.529E-4	-0.00185229	-0.00176415	0.00273436	0.00211705	1.7627E-4
293.26	0.0031754	7.058E-4	0.00238146	6.1731E-4	0.00255809	-5.2917E-4
293.72	0.00202891	0.00493955	0.0038812	0.00158788	0.00467479	-5.2917E-4
294.18	0.00141125	0.00246995	0.00246995	8.814E-5	-0.00132311	-0.00132311
294.64	0.00202891	0.00344016	5.2917E-4	1.7627E-4	-6.1731E-4	0.00308726
295.09	0.00123498	0.00158788	-5.2917E-4	0.00123498	8.8208E-4	0.00344016
295.55	-0.00123498	0.00335203	0.00185229	0.00202891	0.00105835	4.4104E-4
296.01	-0.00141125	0.00176415	0.00211705	8.814E-5	0.00238146	0.00326354
296.46	5.2917E-4	5.2917E-4	0.00194042	-0.00167601	-0.00238146	-0.00344016
296.92	6.1731E-4	0.00238146	-4.4104E-4	-0.00114684	5.2917E-4	0.00238146
297.38	0.00185229	-4.4104E-4	7.9394E-4	0.00202891	0.00255809	0.00202891
297.84	6.1731E-4	-4.4104E-4	9.7021E-4	0.00335203	0.00194042	-7.9394E-4
298.29	-0.00123498	0.00158788	-8.8208E-4	0.00211705	6.1731E-4	-3.529E-4
