Wavelength (nm)	S2_532(arb.units)	S2_450(arb.units)	S2_400(arb.units)
362.69	0.00400593	-9.3884E-4	0
363.14	0.00793389	-9.2868E-4	0
363.59	0.00793611	-4.6434E-4	0
364.04	0.00755913	-5.6631E-4	0
364.49	0.00918489	3.067E-5	0
364.94	0.00467705	-9.1081E-4	0
365.39	0.00541684	-0.00160224	0
365.84	0.00585761	-0.00128577	0
366.29	0.00609151	-0.0020869	0
366.74	0.00699387	-0.00209461	0
367.19	0.00697483	-5.1797E-4	0
367.64	0.00959642	0.00150515	0
368.09	0.0075857	-8.1128E-4	0
368.54	0.0071405	-0.00134448	0
368.99	0.00963452	0.0013266	0
369.43	0.0066386	-1.3528E-4	0
369.88	0.00717506	0.00117101	0
370.33	0.00871975	-0.00159188	0
370.78	0.00579294	-0.00173732	0
371.23	0.00515991	-7.7553E-4	0
371.68	0.00508992	-9.4148E-4	0
372.13	0.00626915	1.428E-4	0
372.58	0.00669353	9.7195E-4	0
373.03	0.00496943	-0.00124495	0
373.47	0.00548373	-4.1579E-4	0
373.92	0.00763931	0.00117365	0
374.37	0.00429741	-0.00104609	0
374.82	0.00436076	-4.0564E-4	0
375.27	0.00472135	-3.2662E-4	0
375.72	0.00694382	-1.0197E-4	0
376.17	0.00646628	-0.00140582	0
376.61	0.00339948	-6.4553E-4	0
377.06	0.00766943	-8.0356E-4	0
377.51	0.00573092	0.00105117	0
377.96	0.00472711	-9.5671E-4	0
378.41	0.00688268	-6.7356E-4	0
378.86	0.00464693	-6.7864E-4	0
379.3	0.00540488	-0.00204343	0
379.75	0.01117788	-8.7242E-4	0
380.2	0.00708602	-0.00102557	0
380.65	0.00757109	-3.317E-4	0
381.09	0.00883448	6.1486E-4	0
381.54	0.00642065	-0.00166074	0
381.99	0.00672099	-7.902E-5	0
382.44	0.00571763	-7.1682E-4	0
382.89	0.00530787	5.4843E-4	0
383.33	0.00257951	-0.00154862	0
383.78	0.00848585	-3.445E-4	0
384.23	0.00764684	-0.00108692	0
384.68	0.00689154	4.5419E-4	0
385.12	0.00685921	5.919E-4	0
385.57	0.00338265	-5.6123E-4	0
386.02	0.00499866	-8.8278E-4	0
386.47	0.00587755	-0.00121692	0
386.91	0.00631389	-8.3423E-4	0
387.36	0.00470585	-2.9331E-4	0
387.81	0.00851376	-0.00206658	0
388.25	0.0014809	1.4544E-4	0
388.7	0.008003	1.2248E-4	0
389.15	0.00588109	0.00159696	0
389.59	0.00530787	3.3678E-4	0
390.04	0.00633382	-8.8278E-4	0
390.49	0.00693806	0.00115578	0
390.93	0.00463143	-3.904E-4	0
391.38	0.00500752	-2.9331E-4	0
391.83	0.00825018	-5.9962E-4	0
392.27	0.0056627	-2.3989E-4	0
392.72	0.00433773	-1.523E-5	0
393.17	0.00773588	4.8465E-4	0
393.61	0.00673428	3.8269E-4	0
394.06	0.00924026	2.8823E-4	0
394.51	0.0079999	-9.362E-4	0
394.95	0.00655665	-4.9237E-4	0
395.4	0.00979444	-7.2454E-4	0
395.85	0.00538938	4.0828E-4	0
396.29	0.00757596	-5.362E-5	0
396.74	0.00236112	4.347E-5	0
397.18	0.00770575	-0.00153846	0
397.63	0.01046113	-6.7092E-4	0
398.08	0.00710506	-5.204E-4	0
398.52	0.00791307	3.4958E-4	0
398.97	0.00695711	1.2756E-4	0
399.41	0.00821785	-1.1984E-4	0
399.86	0.0012665	-8.5211E-4	-9.016E-4
400.3	0.00741338	2.0658E-4	0.00160991
400.75	0.00652741	3.189E-4	0.00167425
401.19	0.00681003	-8.0864E-4	-0.00103029
401.64	0.00588774	-1.8362E-4	-7.7265E-4
402.09	0.00132985	-0.00238021	6.434E-5
402.53	0.00488526	4.855E-5	-0.00154556
402.98	0.00546601	3.0367E-4	-9.6594E-4
403.42	0.0057699	1.9398E-4	-0.00115923
403.87	0.00756444	-0.00135463	-5.1527E-4
404.31	0.00582528	-4.3123E-4	0.00199623
404.76	0.00424869	-0.00122199	0
405.2	0.00849693	-3.2906E-4	-3.2198E-4
405.65	0.00230575	-4.8222E-4	0.00122358
406.09	0.0053278	-1.2756E-4	-1.2869E-4
406.54	0.0096766	-0.00142613	-0.00109463
406.98	0.00621599	0.00106904	-0.00128792
407.43	0.00684902	5.5108E-4	-9.6594E-4
407.87	0.00667758	0.00100262	0.00135227
408.32	0.00427083	-7.8061E-4	0.00148122
408.76	0.00675776	3.6989E-4	-5.1527E-4
409.21	0.00750021	-9.5164E-4	1.2869E-4
409.65	0.00582749	4.855E-5	-5.7962E-4
410.09	0.00765348	7.4242E-4	0.00206058
410.54	0.00809115	-4.083E-5	-0.00160991
410.98	0.00748692	0.00138023	6.4396E-4
411.43	0.00384247	4.2615E-4	-4.5067E-4
411.87	0.00654424	-4.083E-5	-0.00148122
412.32	0.00839238	5.5108E-4	0
412.76	0.00647957	-5.5879E-4	6.434E-5
413.2	0.00587533	-3.6481E-4	-6.434E-5
413.65	0.00557499	4.8465E-4	-0.00283348
414.09	0.00778815	-2.0922E-4	0
414.54	0.00513112	-1.5559E-4	3.8633E-4
414.98	0.00424869	-0.00104081	-0.00135227
415.42	0.0070652	7.3978E-4	0
415.87	0.00745768	2.3725E-4	-6.4396E-4
416.31	0.00510542	-0.00103065	-3.8633E-4
416.76	0.00680782	-1.7347E-4	-0.00109463
417.2	0.00787719	7.15E-5	0.00225387
417.64	0.00859837	-0.0013522	-0.00128792
418.09	0.00681889	-2.2709E-4	-0.00186754
418.53	0.00655443	-1.28E-5	1.9329E-4
418.97	0.00501062	3.8269E-4	6.434E-5
419.42	0.00487728	-0.00107412	-0.00154556
419.86	0.00476388	-0.0013522	5.1527E-4
420.3	0.00570744	5.9962E-4	-0.00109463
420.75	0.00867412	3.1119E-4	9.6594E-4
421.19	0.0059945	0.0010664	-1.9329E-4
421.63	0.0057287	-6.642E-5	0.00167425
422.08	0.00545272	-7.6801E-4	1.2869E-4
422.52	0.00947194	1.1741E-4	0.00218952
422.96	0.00505093	-4.8222E-4	-2.5764E-4
423.4	0.00735757	-9.7967E-4	-0.00257585
423.85	0.00372773	-4.347E-5	-3.2198E-4
424.29	0.00841586	-2.6528E-4	-3.2198E-4
424.73	0.0062851	1.5823E-4	-0.00173859
425.18	0.00727517	6.8879E-4	-7.7265E-4
425.62	0.00669796	2.031E-5	2.5764E-4
426.06	0.00608221	4.0828E-4	-6.434E-5
426.5	0.00810223	0.00138267	4.5067E-4
426.95	0.0086028	-3.819E-5	0.00122358
