Time(ns)	Amplitude(arb. Unit)		
-37.91	99.727754
-37.885	99.950648
-37.86	100.26441
-37.835	100.541107
-37.81	100.602238
-37.785	100.471844
-37.76	100.203811
-37.735	99.8585
-37.71	99.520557
-37.685	99.35241
-37.66	99.420844
-37.635	99.590221
-37.61	99.628213
-37.585	99.490221
-37.56	99.30591
-37.535	99.237
-37.51	99.252164
-37.485	99.290926
-37.46	99.282852
-37.435	99.229811
-37.41	99.191172
-37.385	99.183148
-37.36	99.21418
-37.335	99.22168
-37.31	99.175541
-37.285	99.075959
-37.26	98.915303
-37.235	98.692656
-37.21	98.370238
-37.185	97.932887
-37.16	97.419252
-37.135	96.920547
-37.11	96.568148
-37.085	96.47605
-37.06	96.613807
-37.035	96.905311
-37.01	97.289262
-36.985	97.764721
-36.96	98.224959
-36.935	98.631393
-36.91	99.038008
-36.885	99.543918
-36.86	100.072893
-36.835	100.425467
-36.81	100.502459
-36.785	100.410721
-36.76	100.264885
-36.735	100.111615
-36.71	100.012082
-36.685	100.065426
-36.66	100.211205
-36.635	100.257344
-36.61	100.134213
-36.585	99.950549
-36.56	99.811967
-36.535	99.727893
-36.51	99.635738
-36.485	99.528352
-36.46	99.390123
-36.435	99.160549
-36.41	98.899836
-36.385	98.74632
-36.36	98.8075
-36.335	99.106557
-36.31	99.643664
-36.285	100.325975
-36.26	101.008533
-36.235	101.584287
-36.21	102.013213
-36.185	102.358238
-36.16	102.588451
-36.135	102.66509
-36.11	102.649811
-36.085	102.65027
-36.06	102.665492
-36.035	102.596115
-36.01	102.404779
-35.985	102.120533
-35.96	101.78318
-35.935	101.322877
-35.91	100.81709
-35.885	100.379975
-35.86	100.065402
-35.835	99.857967
-35.81	99.728344
-35.785	99.720385
-35.76	99.842697
-35.735	100.072844
-35.71	100.379574
-35.685	100.633262
-35.66	100.69427
-35.635	100.578992
-35.61	100.418041
-35.585	100.272844
-35.56	100.08877
-35.535	99.89632
-35.51	99.88918
-35.485	100.24918
-35.46	100.862934
-35.435	101.461582
-35.41	101.859992
-35.385	102.059287
-35.36	102.128426
-35.335	102.120525
-35.31	102.052197
-35.285	101.974967
-35.26	101.929246
-35.235	101.921402
-35.21	101.94441
-35.185	101.967656
-35.16	101.936451
-35.135	101.783057
-35.11	101.54577
-35.085	101.276984
-35.06	101.024238
-35.035	100.732434
-35.01	100.349418
-34.985	99.980746
-34.96	99.682098
-34.935	99.429057
-34.91	99.245156
-34.885	99.175549
-34.86	99.237492
-34.835	99.321328
-34.81	99.398377
-34.785	99.544164
-34.76	99.789008
-34.735	100.049951
-34.71	100.226533
-34.685	100.280221
-34.66	100.218811
-34.635	99.988721
-34.61	99.53632
-34.585	98.914902
-34.56	98.29377
-34.535	97.772467
-34.51	97.427268
-34.485	97.311755
-34.46	97.404085
-34.435	97.587807
-34.41	97.795066
-34.385	98.025041
-34.36	98.355484
-34.335	98.822926
-34.31	99.367582
-34.285	99.881033
-34.26	100.257139
-34.235	100.418254
-34.21	100.310525
-34.185	99.97341
-34.16	99.535877
-34.135	99.068205
-34.11	98.607787
-34.085	98.216984
-34.06	97.979582
-34.035	97.933385
-34.01	98.033033
-33.985	98.224549
-33.96	98.416467
-33.935	98.523967
-33.91	98.539139
-33.885	98.539492
-33.86	98.501156
-33.835	98.370302
-33.81	98.178385
-33.785	98.033364
-33.76	98.063807
-33.735	98.301684
-33.71	98.715549
-33.685	99.167828
-33.66	99.589541
-33.635	99.949951
-33.61	100.310426
-33.585	100.72477
-33.56	101.208369
-33.535	101.683484
-33.51	102.098008
-33.485	102.411992
-33.46	102.496303
-33.435	102.220426
-33.41	101.637762
-33.385	100.978279
-33.36	100.402525
-33.335	99.888828
-33.31	99.367402
-33.285	98.892287
-33.26	98.615533
