Wavelength(nm)	S1_532(arb.units)	S1_450(arb.units)	S1_400(arb.units)
365.84	0.0074156	8.5718E-4	0
366.29	0.00364312	6.1729E-4	0
366.74	0.00554708	9.953E-5	0
367.19	0.00430406	7.0667E-4	0
367.64	0.00303136	-1.7855E-4	0
368.09	0.00369097	9.7459E-4	0
368.54	0.00458137	0.00232922	0
368.99	8.4345E-4	0.00244907	0
369.43	0.00485824	0.00119132	0
369.88	8.3237E-4	0.00142613	0
370.33	0.00482501	0.00187768	0
370.78	0.00579294	-2.64E-6	0
371.23	0.00593868	1.9398E-4	0
371.68	0.00464472	0.00166074	0
372.13	0.00359882	0.00187768	0
372.58	0.00469034	0.0014822	0
373.03	0.00363426	0.00207166	0
373.47	0.00526135	0.00111495	0
373.92	0.00407814	0.00193902	0
374.37	0.01008415	9.4392E-4	0
374.82	0.00291441	0.00138023	0
375.27	0.00360857	0.00191851	0
375.72	0.00438424	0.00107148	0
376.17	0.00401833	0.00124759	0
376.61	0.00517984	0.00277325	0
377.06	0.00744661	0.00215576	0
377.51	0.00717727	9.49E-4	0
377.96	0.00561707	4.7206E-4	0
378.41	0.00565827	0.00197965	0
378.86	0.00242137	9.0309E-4	0
379.3	0.00507087	0.00311003	0
379.75	0.00316603	0.00203591	0
380.2	0.00374767	0.00132152	0
380.65	0.0031204	0.00130121	0
381.09	0.00616372	0.00183949	0
381.54	0.0049743	2.295E-5	0
381.99	0.00494063	0.0015537	0
382.44	0.00716398	-2.5776E-4	0
382.89	0.0035275	0.00228332	0
383.33	0.0041375	9.0065E-4	0
383.78	0.00692831	7.2718E-4	0
384.23	0.00453131	0.00207674	0
384.68	0.00366439	0.00121956	0
385.12	0.00485602	8.4703E-4	0
385.57	0.00371666	0.00158173	0
386.02	0.00266191	0.00161748	0
386.47	0.00431956	0.00148727	0
386.91	0.00442234	0.00156385	0
387.36	0.00437228	8.2915E-4	0
387.81	0.00495303	-7.658E-5	0
388.25	0.00181492	0.00310475	0
388.7	0.00410826	0.0013981	0
389.15	0.00354434	8.3179E-4	0
389.59	0.00430627	5.919E-4	0
390.04	0.00611144	0.00284211	0
390.49	0.0046013	0.00120676	0
