time (ns)	S2_61uJ(%)	S2_176uJ(%)	S2_400uJ(%)	
-27.475	100.249352	100.875374	99.620425
-27.45	100.34918	100.786243	99.393517
-27.425	100.372418	100.606861	99.222625
-27.4	100.418205	100.200287	99.121308
-27.375	100.594959	99.6224	99.144583
-27.35	100.88641	99.118487	99.292508
-27.325	101.139107	98.906817	99.596908
-27.3	101.284598	98.980417	99.978933
-27.275	101.354033	99.167243	100.431375
-27.25	101.322877	99.354443	100.96095
-27.225	101.139041	99.435496	101.522375
-27.2	100.755959	99.387165	101.998558
-27.175	100.157844	99.240208	102.310217
-27.15	99.45223	99.110081	102.411767
-27.125	98.738705	99.012625	102.30265
-27.1	98.10177	98.857966	101.982533
-27.075	97.587844	98.621567	101.460392
-27.05	97.220336	98.377963	100.844208
-27.025	97.036213	98.207341	100.244042
-27	97.074328	98.134175	99.744767
-26.975	97.335279	98.125545	99.385783
-26.95	97.656885	98.142017	99.121092
-26.925	97.8645	98.084878	98.918367
-26.9	97.895066	97.93887	98.739317
-26.875	97.849225	97.751548	98.606758
-26.85	97.802915	97.743409	98.552117
-26.825	97.818196	97.913774	98.473542
-26.8	98.002385	98.10967	98.318058
-26.775	98.424393	98.239287	98.185375
-26.75	98.983811	98.401948	98.201258
-26.725	99.49768	98.695544	98.286908
-26.7	99.88918	99.01293	98.2709
-26.675	100.303566	99.240443	98.099892
-26.65	100.817082	99.38653	97.904725
-26.625	101.284861	99.411191	97.764558
-26.6	101.500016	99.264363	97.654683
-26.575	101.430754	99.00474	97.694453
-26.55	101.200836	98.760522	97.998445
-26.525	100.962664	98.614061	98.528089
-26.5	100.839713	98.540774	99.07404
-26.475	100.886197	98.508043	99.572966
-26.45	101.070164	98.564809	100.079687
-26.425	101.33873	98.727417	100.532417
-26.4	101.538262	98.914809	100.758067
-26.375	101.469131	99.045243	100.735383
-26.35	101.039344	99.183191	100.594842
-26.325	100.33373	99.459774	100.408
-26.3	99.589533	99.87499	100.251508
-26.275	98.976598	100.355175	100.189658
-26.25	98.523443	100.819087	100.306442
-26.225	98.170746	101.25803	100.531967
-26.2	97.894746	101.59983	100.680892
-26.175	97.779811	101.730265	100.711958
-26.15	97.856918	101.640577	100.695825
-26.125	98.109902	101.404369	100.726958
-26.1	98.501057	101.103443	100.882967
-26.075	98.991344	100.802261	101.218442
-26.05	99.405508	100.598913	101.663325
-26.025	99.57477	100.566487	101.982617
-26	99.474893	100.615617	102.060367
-25.975	99.260025	100.590835	101.912517
-25.95	99.099311	100.477043	101.655567
-25.925	99.006918	100.331017	101.265508
-25.9	99.030221	100.070583	100.727066
-25.875	99.160254	99.590157	100.134333
-25.85	99.367451	98.955626	99.682668
-25.825	99.605213	98.304887	99.378146
-25.8	99.842861	97.751096	99.144573
-25.775	100.065049	97.32787	98.972668
-25.75	100.264926	97.174026	98.926299
-25.725	100.410779	97.36893	99.058323
-25.7	100.479287	97.792165	99.24594
-25.675	100.487197	98.21527	99.432725
-25.65	100.433393	98.491922	99.667068
-25.625	100.371811	98.6382	99.900818
-25.6	100.364254	98.621991	100.010282
-25.575	100.518115	98.39373	99.95552
-25.55	100.863303	98.125409	99.838376
-25.525	101.231213	98.0446	99.752242
-25.5	101.484426	98.239626	99.658908
-25.475	101.537811	98.56533	99.526342
-25.45	101.430262	98.939426	99.479375
-25.425	101.246361	99.345696	99.620092
-25.4	101.070131	99.793704	99.908175
-25.375	100.993434	100.232957	100.197342
-25.35	101.009066	100.68873	100.42335
-25.325	101.008656	101.136113	100.594592
-25.3	100.962352	101.535122	100.758225
-25.275	100.8325	101.803127	100.976617
-25.25	100.633262	101.941631	101.202633
-25.225	100.341525	101.884919	101.374658
-25.2	99.996566	101.600323	101.43705
-25.175	99.666648	101.160264	101.460092
-25.15	99.405582	100.777783	101.4523
-25.125	99.268057	100.615678	101.35903
-25.1	99.30641	100.655991	101.140217
-25.075	99.467418	100.851583	100.867958
-25.05	99.658984	101.144557	100.703842
-25.025	99.819574	101.469647	100.67265
-25	100.019393	101.681693	100.648908
-24.975	100.325885	101.624237	100.55605
-24.95	100.640221	101.323119	100.383792
-24.925	100.8555	100.916285	100.111413
-24.9	100.932369	100.509698	99.737425
-24.875	100.955025	100.118948	99.40183
-24.85	100.985467	99.899065	99.253615
-24.825	101.101041	99.972598	99.253317
-24.8	101.269549	100.331039	99.25325
-24.775	101.46873	100.761965	99.214208
-24.75	101.592025	101.135757	99.230508
-24.725	101.568607	101.396496	99.323542
-24.7	101.361877	101.47793	99.417592
-24.675	101.100525	101.355761	99.534017
-24.65	100.901344	101.095766	99.713242
-24.625	100.84023	100.892232	99.885033
-24.6	100.832738	100.737642	100.001758
-24.575	100.801352	100.55069	100.142292
-24.55	100.748139	100.31467	100.376158
-24.525	100.778631	100.070137	100.587233
-24.5	100.985361	99.907157	100.672533
-24.475	101.3925	99.850573	100.734967
-24.45	101.88318	99.980636	100.859908
-24.425	102.266197	100.403803	100.961625
-24.4	102.427492	101.063057	100.899058
-24.375	102.412508	101.729701	100.742692
-24.35	102.289975	102.193797	100.633642
-24.325	102.121238	102.348516	100.563875
-24.3	101.936467	102.226217	100.415667
-24.275	101.898705	101.95833	100.22025
-24.25	102.05959	101.664727	100.064358
-24.225	102.312402	101.347646	99.908642
-24.2	102.52768	100.932369	99.674958
-24.175	102.634639	100.452558	99.448175
-24.15	102.588738	100.021134	99.362467
-24.125	102.366492	99.77741	99.370558
-24.1	101.990328	99.728342	99.34675
-24.075	101.537631	99.818156	99.339725
-24.05	101.093254	100.054429	99.401925
-24.025	100.701689	100.371571	99.495608
-24	100.40327	100.664056	99.635433
-23.975	100.257074	100.826725	99.970617
-23.95	100.27991	100.826849	100.524717
-23.925	100.463918	100.656165	101.070308
-23.9	100.778492	100.27387	101.358767
-23.875	101.139025	99.761139	101.444833
-23.85	101.445811	99.379096	101.483767
-23.825	101.660975	99.3378	101.515133
-23.8	101.759975	99.606557	101.444892
-23.775	101.744639	100.045565	101.2962
-23.75	101.591893	100.542209	101.117508
-23.725	101.330713	101.030661	100.914358
-23.7	101.016254	101.437617	100.633708
-23.675	100.69418	101.746817	100.298533
-23.65	100.302795	101.998739	99.993958
-23.625	99.788918	102.193513	99.752533
-23.6	99.236869	102.299843	99.604267
-23.575	98.907189	102.324496	99.651292
-23.55	98.860943	102.340026	99.994625
-23.525	98.929975	102.356296	100.5867
-23.5	98.983664	102.348104	101.265558
-23.475	99.053221	102.283565	101.959367
-23.45	99.190934	102.18593	102.598883
-23.425	99.344508	102.06413	103.042925
-23.4	99.4595	101.868548	103.113642
-23.375	99.590066	101.575261	102.871375
-23.35	99.751246	101.168991	102.5756
-23.325	99.881516	100.647687	102.380008
-23.3	99.927311	100.037443	102.294942
-23.275	99.919287	99.394591	102.3256
-23.25	99.896344	98.833104	102.458633
-23.225	99.835631	98.507757	102.536017
-23.2	99.72041	98.515896	102.419175
-23.175	99.666728	98.800861	102.21685
-23.15	99.750746	99.199617	102.03685
-23.125	99.927442	99.549739	101.834233
-23.1	100.049861	99.785765	101.506733
-23.075	100.027434	99.891104	101.117508
-23.05	99.920057	99.915513	100.82085
-23.025	99.84318	99.899052	100.63365
-23	99.957811	99.858487	100.469725
-22.975	100.357041	99.866557	100.337758
-22.95	100.909197	99.997296	100.330025
-22.925	101.415164	100.314616	100.400025
-22.9	101.760246	100.786287	100.376517
-22.875	101.928984	101.290319	100.212358
-22.85	101.921369	101.714228	100.025575
-22.825	101.8445	102.014846	99.947425
-22.8	101.798418	102.218322	99.978733
-22.775	101.752344	102.381425	100.103308
-22.75	101.576057	102.551611	100.322117
-22.725	101.193033	102.633353	100.578842
-22.7	100.671082	102.446153	100.797525
-22.675	100.118852	101.99063	100.906517
-22.65	99.689631	101.437463	100.898425
-22.625	99.535885	100.981872	100.727475
-22.6	99.766443	100.680382	100.4151
-22.575	100.218836	100.477217	100.103317
-22.55	100.671057	100.37107	99.978973
-22.525	100.947639	100.33033	99.986235
-22.5	101.039385	100.257226	100.002007
-22.475	101.008648	100.126991	99.9476
-22.45	100.893311	100.012896	99.807358
-22.425	100.763336	99.956183	99.51855
-22.4	100.647885	99.9078	99.136467
-22.375	100.540746	99.850965	98.817183
-22.35	100.417795	99.867174	98.692358
-22.325	100.264582	100.054	98.668608
-22.3	100.149828	100.36306	98.653242
-22.275	100.134303	100.712807	98.722942
-22.25	100.295598	101.095723	98.980317
-22.225	100.59477	101.461684	99.284592
-22.2	100.862861	101.656965	99.456142
-22.175	101.031648	101.61585	99.441017
-22.15	101.031713	101.420821	99.346733
-22.125	100.847877	101.249952	99.23
-22.1	100.525344	101.103803	99.175717
-22.075	100.226574	100.908462	99.316075
-22.05	100.09573	100.680697	99.76065
-22.025	100.150008	100.444735	100.407617
-22	100.2955	100.175855	100.999817
-21.975	100.4715	99.858466	101.351425
-21.95	100.717344	99.57381	101.445
-21.925	101.031869	99.386548	101.327617
-21.9	101.330811	99.256304	101.054883
-21.875	101.553057	99.134443	100.766617
-21.85	101.745377	99.077922	100.571742
-21.825	101.960066	99.118357	100.470017
-21.8	102.190033	99.191713	100.36835
-21.775	102.343008	99.297113	100.204483
-21.75	102.404361	99.451835	100.002283
-21.725	102.404762	99.696052	99.760625
-21.7	102.47332	99.89947	99.456342
-21.675	102.704057	100.013696	99.191525
-21.65	103.071746	100.070661	99.043192
-21.625	103.416893	100.151722	98.988608
-21.6	103.578197	100.281409	98.957475
-21.575	103.470598	100.518174	98.964675
-21.55	103.187	100.933017	99.074258
-21.525	102.773016	101.526609	99.269125
-21.5	102.174484	102.128529	99.479717
-21.475	101.430697	102.55163	99.752508
-21.45	100.663664	102.795914	100.127025
-21.425	99.981107	102.877281	100.501375
-21.4	99.398434	102.763619	100.750542
-21.375	98.922615	102.389152	100.836492
-21.35	98.65382	101.811087	100.797867
-21.325	98.584959	101.217609	100.626025
-21.3	98.607795	100.753826	100.314008
-21.275	98.638705	100.452591	99.9005
-21.25	98.646902	100.33073	99.557708
-21.225	98.592697	100.362965	99.425208
-21.2	98.477533	100.461096	99.55015
-21.175	98.416295	100.558739	99.869617
-21.15	98.585148	100.599296	100.22045
-21.125	98.983795	100.558548	100.391758
-21.1	99.459557	100.419974	100.298133
-21.075	99.86582	100.200165	100.072358
-21.05	100.088066	100.078235	99.932187
-21.025	100.073426	100.143826	99.947546
-21	99.880975	100.355	100.033676
-20.975	99.673893	100.655991	100.072366
-20.95	99.559189	101.04673	100.118853
-20.925	99.444557	101.502319	100.24415
-20.9	99.26809	101.876543	100.42295
-20.875	99.114115	102.064122	100.586875
-20.85	99.021967	102.14493	100.704133
-20.825	98.991811	102.209965	100.649542
-20.8	99.014877	102.234191	100.36835
-20.775	99.129574	102.145115	99.947283
-20.75	99.360131	101.99045	99.56585
-20.725	99.71241	101.836034	99.269008
-20.7	100.14982	101.714166	98.980858
