Wavelength_(nm)	S1_1.3uJ(arb.units)	S1_15uJ(arb.units)	S1_400uJ(arb.units)
396.74	0.00139331	3.738E-4	0.0032286
397.18	3.0602E-4	-0.00234505	0.00203903
397.63	8.4946E-4	0.00105361	7.4759E-4
398.08	0.00112139	6.1163E-4	0.00305855
398.52	4.4198E-4	-0.00169933	0.00309264
398.97	0.00275253	-0.00101952	-2.0374E-4
399.41	0.00271884	7.8168E-4	9.8542E-4
399.86	0.00231096	0.00282071	0.00434999
400.3	0.00237873	0.00176711	0.00462191
400.75	3.0602E-4	8.1577E-4	0.00326229
401.19	1.0187E-4	0.00193716	0.00785011
401.64	-9.8542E-4	2.3783E-4	5.4385E-4
402.09	0.00149518	0.00118957	0.00231096
402.53	0.00367017	0.0035683	0.00479156
402.98	0.00231096	0.00282071	0.00302445
403.42	-0.0025147	0.00207312	0.00278662
403.87	0.0024806	0.00268475	0.00319451
404.31	1.0187E-4	-0.00101952	0.00234505
404.76	0.00193716	0.00183529	0.00244692
405.2	0.00434999	0.00190307	0.00139331
405.65	0.00210681	1.7005E-4	0.00557324
406.09	0.00156336	2.3783E-4	0.00584517
406.54	-0.00367017	-0.00265066	-0.00295668
406.98	0.00186898	0.00146149	0.00135922
407.43	-0.00149518	-0.00434999	0.00176711
407.87	6.1163E-4	9.1764E-4	0.00336456
408.32	-0.00305855	-0.00336456	7.135E-4
408.76	0.00122326	0.0021409	0.00367017
409.21	0.00261657	0.00220909	0.00445186
409.65	1.7005E-4	0.00261657	0.00200494
410.09	8.4946E-4	0.00197085	-8.8355E-4
410.54	-0.0021409	5.0976E-4	7.135E-4
410.98	-9.8542E-4	0.00156336	0.00309264
411.43	0.00186898	0.00492752	0.00666094
411.87	0.00220909	0.00261657	0.00475787
412.32	7.8168E-4	-5.4385E-4	0.0025147
412.76	-0.00241283	0.00319451	3.409E-5
413.2	0.00258288	0.00543728	0.00217499
413.65	-0.00200494	-0.00231096	0.00105361
414.09	8.4946E-4	-7.8168E-4	-8.8355E-4
414.54	0.00268475	0.00207312	0.00278662
414.98	-7.8168E-4	0.00390801	0.00207312
415.42	0.00173301	0.00397619	0.00785011
415.87	0.00451963	6.4572E-4	0.00625305
416.31	-5.4385E-4	0.00455373	0.00108729
416.76	0.00513167	0.00441776	0.00645679
417.2	0.0014274	0.00234505	-0.00122326
417.64	2.0374E-4	0.00112139	-4.0789E-4
418.09	-7.135E-4	2.0374E-4	0.0021409
418.53	0.00115548	-9.8542E-4	-8.8355E-4
418.97	-0.00105361	0.00149518	0.00292258
419.42	-0.00336456	2.0374E-4	0.00367017
419.86	0.0032286	0.00118957	0.00516535
420.3	0.00122326	-2.0374E-4	0.00101952
